date,open,high,low,close,volume
2021-01-04,272.64,272.86,263.14,266.85,15106100
2021-01-05,266.2,270.28,266.12,268.86,9871600
2021-01-06,259.96,265.67,257.99,261.26,24354100
2021-01-07,263.83,269.5,262.72,266.65,15789800
2021-01-08,266.22,266.86,261.13,265.49,18528300
2021-01-11,258.45,261.42,253.91,254.84,30412300
2021-01-12,254.63,257.7,248.35,249.13,26383500
2021-01-13,249.59,251.97,247.26,249.68,19528900
2021-01-14,251.43,253.04,242.71,243.73,29739400
2021-01-15,245.97,251.88,245.24,249.4,24942900
2021-01-19,254.9,260.16,250.75,259.07,28028500
2021-01-20,266.84,268.22,261.55,265.4,25199900
2021-01-21,267.16,271.47,265.41,270.75,20838700
2021-01-22,269.89,276.3,269.88,272.36,21954000
2021-01-25,275.97,277.92,269.4,275.85,19087000
2021-01-26,275.97,283.17,275.65,279.85,19373600
2021-01-27,280.33,281.24,266.03,270.02,35346200
2021-01-28,275.02,284.56,262.64,262.94,37758800
2021-01-29,263.23,264.48,252.87,256.32,30389500
2021-02-01,257.5,262.11,252.93,259.97,22914300
2021-02-02,261.94,266.76,261.22,265.0,17320800
2021-02-03,263.55,267.1,261.79,264.57,14223400
2021-02-04,264.93,266.07,261.94,264.42,16060000
2021-02-05,264.72,267.07,263.6,266.01,12454400
2021-02-08,266.66,267.76,262.94,264.5,13755200
2021-02-09,264.37,271.26,263.68,267.35,14613400
2021-02-10,270.33,271.67,265.64,269.75,14687200
2021-02-11,269.77,271.45,266.4,268.28,12828600
2021-02-12,268.41,269.07,266.25,268.39,9097600
2021-02-16,268.69,274.45,267.95,271.84,15417200
2021-02-17,269.13,271.84,267.48,271.44,12763200
2021-02-18,267.47,269.83,263.96,267.29,15249100
2021-02-19,267.76,268.17,258.12,259.52,25622600
2021-02-22,255.94,261.02,255.52,258.3,17434900
2021-02-23,257.48,265.38,252.97,263.79,21924600
2021-02-24,260.29,264.31,256.38,262.25,15736100
2021-02-25,260.26,264.86,252.06,252.71,19053100
2021-02-26,254.47,263.48,254.47,255.61,26619500
2021-03-01,258.79,264.57,255.89,262.85,22157300
2021-03-02,263.71,264.63,256.64,256.98,15191700
2021-03-03,258.26,258.96,253.11,253.42,15513500
2021-03-04,254.47,264.41,251.53,255.63,31626500
2021-03-05,258.64,263.38,253.62,262.22,26820100
2021-03-08,263.48,263.51,253.06,253.32,18391800
2021-03-09,259.15,266.44,257.79,263.67,22039700
2021-03-10,266.55,266.88,260.82,262.84,14210300
2021-03-11,266.02,275.74,265.73,271.75,21834000
2021-03-12,267.04,267.64,261.96,266.31,20600200
2021-03-15,266.98,273.81,266.41,271.62,16844800
2021-03-16,273.93,279.94,272.66,277.11,22437700
2021-03-17,273.56,284.0,273.27,281.8,21315000
2021-03-18,277.69,282.97,276.11,276.45,18728300
2021-03-19,279.03,290.52,279.01,287.85,38930500
2021-03-22,288.19,297.38,284.52,291.25,28273100
2021-03-23,290.87,295.68,287.55,288.37,23000900
2021-03-24,288.73,289.45,278.97,279.94,18675000
2021-03-25,278.79,285.82,275.59,276.57,24505600
2021-03-26,276.13,282.28,275.61,280.82,17629200
2021-03-29,283.54,290.9,282.48,288.56,21718800
2021-03-30,287.57,290.19,284.47,285.76,17474500
2021-03-31,287.73,294.19,286.36,292.24,19498200
2021-04-01,296.08,300.05,294.29,296.33,17616000
2021-04-05,298.55,308.35,298.34,306.5,28237000
2021-04-06,306.44,308.93,302.87,303.88,17335200
2021-04-07,303.95,311.8,303.12,310.65,22855200
2021-04-08,312.4,313.42,307.64,310.58,20894100
2021-04-09,308.98,312.29,307.91,310.03,15988600
2021-04-12,308.63,309.72,305.53,309.11,10881900
2021-04-13,309.78,311.98,306.91,307.35,14036900
2021-04-14,304.91,305.63,299.6,300.46,17421400
2021-04-15,303.95,307.73,301.73,305.42,14558300
2021-04-16,305.77,306.54,302.24,303.8,13059200
2021-04-19,302.64,305.3,298.22,299.89,14553500
2021-04-20,299.64,302.72,294.9,300.29,16796400
2021-04-21,299.6,299.63,295.07,299.12,14863500
2021-04-22,298.98,300.56,293.73,294.21,16375400
2021-04-23,296.43,300.23,294.84,298.79,17536800
2021-04-26,300.98,303.42,299.21,300.68,16172600
2021-04-27,301.91,302.96,298.77,301.21,15309300
2021-04-28,304.97,308.5,302.99,304.71,33907200
2021-04-29,327.55,329.23,319.11,326.94,56526800
2021-04-30,323.6,327.25,321.97,322.55,26332400
2021-05-03,323.63,325.99,319.33,320.07,18719500
2021-05-04,317.53,319.68,310.68,315.88,24032600
2021-05-05,315.71,318.56,312.04,312.57,15577600
2021-05-06,312.07,317.75,310.83,317.53,19012200
2021-05-07,319.87,320.43,316.27,316.6,15916700
2021-05-10,311.9,312.13,302.46,303.59,24239200
2021-05-11,298.41,304.45,297.36,304.14,18920100
2021-05-12,298.79,302.59,295.87,300.19,24645500
2021-05-13,303.7,306.46,300.41,302.88,18079200
2021-05-14,307.13,314.38,306.67,313.48,19245700
2021-05-17,311.11,313.22,309.15,313.0,15401300
2021-05-18,313.13,314.04,307.4,307.55,14522400
2021-05-19,301.82,312.21,301.21,311.15,19106200
2021-05-20,311.14,316.76,310.72,316.13,17320200
2021-05-21,316.8,317.44,313.35,313.77,13600900
2021-05-24,315.73,323.41,315.55,322.1,16445400
2021-05-25,324.53,326.62,322.27,325.24,16437000
2021-05-26,325.79,327.26,323.28,325.11,9686900
2021-05-27,325.45,331.18,324.22,330.16,20477700
2021-05-28,328.42,330.28,325.77,326.17,12037400
2021-06-01,327.58,328.84,324.1,326.57,11765900
2021-06-02,327.81,329.29,324.57,326.59,11654300
2021-06-03,323.24,324.83,320.96,323.5,12610800
2021-06-04,323.36,329.87,322.65,327.78,13289400
2021-06-07,326.91,335.06,326.37,333.96,20136700
2021-06-08,334.08,335.67,329.65,331.08,14580500
2021-06-09,333.13,334.18,327.43,327.68,13727900
2021-06-10,328.21,331.34,325.99,329.87,13240200
2021-06-11,329.99,330.24,326.37,328.68,13587900
2021-06-14,329.32,334.2,327.24,334.15,12250800
2021-06-15,334.37,337.27,332.42,334.13,15795200
2021-06-16,334.08,334.92,326.16,328.5,17232200
2021-06-17,327.92,335.35,327.58,333.89,17794100
2021-06-18,331.93,333.53,326.44,327.09,23039500
2021-06-21,328.51,330.33,325.1,329.7,11337500
2021-06-22,330.1,337.27,330.01,336.39,15345300
2021-06-23,336.71,340.75,335.57,337.94,14817800
2021-06-24,339.19,342.21,339.13,340.51,12329100
2021-06-25,339.92,341.44,337.04,338.71,14594400
2021-06-28,339.79,355.35,339.11,352.87,29156100
2021-06-29,353.5,353.96,346.33,349.15,21417300
2021-06-30,349.43,350.17,344.47,345.0,15107500
2021-07-01,344.12,351.91,343.8,351.63,17137000
2021-07-02,352.34,353.66,349.87,351.94,11521300
2021-07-06,353.72,356.0,346.46,350.03,13488500
2021-07-07,352.49,353.71,347.27,347.76,14218900
2021-07-08,343.04,345.62,339.89,342.96,14406500
2021-07-09,342.63,347.98,342.58,347.69,13018700
2021-07-12,348.5,351.43,346.92,350.41,10018600
2021-07-13,348.76,355.7,346.08,349.35,11456000
2021-07-14,351.8,352.43,344.03,344.92,13894200
2021-07-15,346.51,346.51,337.57,341.78,14781600
2021-07-16,342.22,343.3,337.49,338.5,11026100
2021-07-19,334.94,337.14,331.94,334.33,14372300
2021-07-20,336.16,340.78,331.9,339.0,11024300
2021-07-21,338.84,343.82,338.59,343.53,9279700
2021-07-22,343.98,348.8,342.52,348.46,12385400
2021-07-23,358.1,372.41,354.41,366.91,33694300
2021-07-26,366.7,371.52,365.35,369.56,14925200
2021-07-27,369.01,370.24,361.71,364.95,15705400
2021-07-28,371.64,374.61,364.07,370.37,29676900
2021-07-29,358.19,362.67,353.96,355.53,33413200
2021-07-30,351.24,357.92,350.19,353.53,15976200
2021-08-02,355.31,356.6,348.01,349.21,13180400
2021-08-03,349.98,351.02,344.99,348.51,12406100
2021-08-04,349.68,357.67,348.77,356.13,14180600
2021-08-05,356.84,361.07,354.12,360.14,10247200
2021-08-06,358.59,362.31,358.59,360.68,8925000
2021-08-09,360.93,362.93,357.94,358.79,7798900
2021-08-10,359.01,361.26,356.24,358.32,7469900
2021-08-11,359.28,359.54,355.02,357.16,8400300
2021-08-12,355.66,360.17,354.33,359.83,7170700
2021-08-13,360.14,361.82,358.67,360.35,7195700
2021-08-16,359.7,364.09,354.6,363.71,11222100
2021-08-17,360.15,361.83,352.31,355.66,12328700
2021-08-18,353.48,357.06,352.38,352.68,10042400
2021-08-19,348.61,354.79,348.27,352.35,12004500
2021-08-20,351.84,357.19,350.56,356.57,8697700
2021-08-23,356.64,362.84,356.3,360.52,10942000
2021-08-24,360.83,365.09,359.02,362.66,9235100
2021-08-25,362.75,367.97,362.55,365.52,9684500
2021-08-26,365.51,366.56,361.29,361.54,7888700
2021-08-27,362.26,370.83,361.25,369.73,11219100
